,c,1b,2b,ss,3b,lf,rf,cf,p_s,p_r,p_r2
0,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Jorge Soler,Austin Jackson,Dan Haren,Jason Motte,
1,Welington Castillo,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Dexter Fowler,Jason Hammel,Dallas Beeler,Justin Grimm
2,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Denorfia,Mike Baxter,Dexter Fowler,Jake Arrieta,Neil Ramirez,
3,Welington Castillo,Mike Baxter,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Pedro Strop,
4,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Austin Jackson,Mike Baxter,Dexter Fowler,Kyle Hendricks,Hector Rondon,
5,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Jorge Soler,Austin Jackson,Dan Haren,Justin Grimm,
6,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Jason Hammel,Dallas Beeler,
7,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Chris Denorfia,Austin Jackson,Jon Lester,Pedro Strop,
8,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Neil Ramirez,
9,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Jake Arrieta,Justin Grimm,
10,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Mike Olt,Kris Bryant,Mike Baxter,Austin Jackson,Dan Haren,Neil Ramirez,Pedro Strop
11,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jason Hammel,Jason Motte,
12,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Dexter Fowler,Travis Wood,Justin Grimm,
13,David Ross,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Edwin Jackson,Neil Ramirez,
14,Miguel Montero,Anthony Rizzo,Tommy La Stella,Starlin Castro,Mike Olt,Chris Coghlan,Mike Baxter,Dexter Fowler,Jon Lester,Justin Grimm,
15,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Dan Haren,Tsuyoshi Wada,
16,Miguel Montero,Mike Baxter,Addison Russell,Starlin Castro,Tommy La Stella,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Jake Arrieta,Justin Grimm,
17,David Ross,Mike Baxter,Tommy La Stella,Addison Russell,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Travis Wood,Neil Ramirez,
18,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Mike Baxter,Dexter Fowler,Jason Hammel,Pedro Strop,
19,Miguel Montero,Welington Castillo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Hector Rondon,
20,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Coghlan,Mike Baxter,Dexter Fowler,Jon Lester,Justin Grimm,
21,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Denorfia,Mike Baxter,Dexter Fowler,Jake Arrieta,Tsuyoshi Wada,
22,David Ross,Anthony Rizzo,Starlin Castro,Addison Russell,Kris Bryant,Chris Denorfia,Mike Baxter,Dexter Fowler,Kyle Hendricks,Hector Rondon,
23,Welington Castillo,Anthony Rizzo,Addison Russell,Starlin Castro,Mike Olt,Chris Coghlan,Chris Denorfia,Dexter Fowler,Travis Wood,Tsuyoshi Wada,
24,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Neil Ramirez,
25,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Chris Denorfia,Austin Jackson,Jason Hammel,Justin Grimm,Pedro Strop
26,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jon Lester,Dallas Beeler,
27,David Ross,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Jake Arrieta,Hector Rondon,
28,David Ross,Welington Castillo,Tommy La Stella,Starlin Castro,Mike Olt,Kyle Schwarber,Jorge Soler,Dexter Fowler,Dan Haren,Justin Grimm,Pedro Strop
29,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Mike Olt,Austin Jackson,Jorge Soler,Dexter Fowler,Edwin Jackson,Dallas Beeler,Jason Motte
30,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Mike Baxter,Dexter Fowler,Kyle Hendricks,Tsuyoshi Wada,
31,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Coghlan,Jorge Soler,Austin Jackson,Jon Lester,Hector Rondon,
32,Miguel Montero,Mike Baxter,Addison Russell,Starlin Castro,Mike Olt,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Jason Hammel,Tsuyoshi Wada,
33,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Mike Baxter,Austin Jackson,Jake Arrieta,Hector Rondon,
34,Welington Castillo,Anthony Rizzo,Starlin Castro,Addison Russell,Kris Bryant,Chris Denorfia,Jorge Soler,Dexter Fowler,Dan Haren,Tsuyoshi Wada,
35,Miguel Montero,Mike Olt,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Kyle Hendricks,Dallas Beeler,
36,Welington Castillo,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Jorge Soler,Austin Jackson,Jon Lester,Hector Rondon,
37,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Jorge Soler,Austin Jackson,Jason Hammel,Jason Motte,
38,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Edwin Jackson,Tsuyoshi Wada,
39,David Ross,Welington Castillo,Starlin Castro,Addison Russell,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Dan Haren,Pedro Strop,
40,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Kyle Hendricks,Jason Motte,Tsuyoshi Wada
41,Miguel Montero,Welington Castillo,Tommy La Stella,Addison Russell,Mike Olt,Chris Coghlan,Chris Denorfia,Austin Jackson,Jake Arrieta,Neil Ramirez,Pedro Strop
42,Miguel Montero,Anthony Rizzo,Tommy La Stella,Starlin Castro,Mike Olt,Chris Coghlan,Chris Denorfia,Dexter Fowler,Jason Hammel,Hector Rondon,
43,David Ross,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Jon Lester,Jason Motte,
44,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Jorge Soler,Austin Jackson,Travis Wood,Pedro Strop,
45,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Kyle Hendricks,Hector Rondon,
46,David Ross,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Quintin Berry,Jorge Soler,Austin Jackson,Dan Haren,Pedro Strop,
47,Miguel Montero,Mike Baxter,Tommy La Stella,Addison Russell,Kris Bryant,Quintin Berry,Jorge Soler,Austin Jackson,Jason Hammel,Hector Rondon,
48,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Jon Lester,Pedro Strop,
49,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Justin Grimm,
50,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Mike Baxter,Dexter Fowler,Kyle Hendricks,Neil Ramirez,
51,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Quintin Berry,Mike Baxter,Austin Jackson,Dan Haren,Hector Rondon,
52,Miguel Montero,Mike Baxter,Addison Russell,Starlin Castro,Mike Olt,Kris Bryant,Chris Denorfia,Austin Jackson,Jake Arrieta,Pedro Strop,Tsuyoshi Wada
53,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Jason Hammel,Justin Grimm,
54,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Edwin Jackson,Pedro Strop,Tsuyoshi Wada
55,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Mike Olt,Quintin Berry,Chris Denorfia,Austin Jackson,Jon Lester,Neil Ramirez,
56,Welington Castillo,Anthony Rizzo,Tommy La Stella,Starlin Castro,Mike Olt,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Dan Haren,Hector Rondon,
57,Miguel Montero,Mike Olt,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Kyle Hendricks,Neil Ramirez,
58,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Coghlan,Chris Denorfia,Austin Jackson,Travis Wood,Jason Motte,
59,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Jorge Soler,Dexter Fowler,Jake Arrieta,Pedro Strop,
60,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jon Lester,Tsuyoshi Wada,
61,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Mike Olt,Kyle Schwarber,Chris Denorfia,Austin Jackson,Edwin Jackson,Hector Rondon,
62,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Chris Denorfia,Austin Jackson,Kyle Hendricks,Dallas Beeler,Justin Grimm
63,Welington Castillo,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Quintin Berry,Chris Denorfia,Austin Jackson,Dan Haren,Jason Motte,
64,Welington Castillo,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Jason Hammel,Justin Grimm,
65,Welington Castillo,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Jon Lester,Tsuyoshi Wada,
66,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Hector Rondon,
67,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jake Arrieta,Tsuyoshi Wada,
68,Miguel Montero,Welington Castillo,Tommy La Stella,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Dan Haren,Justin Grimm,
69,Welington Castillo,Anthony Rizzo,Tommy La Stella,Addison Russell,Mike Olt,Kyle Schwarber,Chris Denorfia,Dexter Fowler,Kyle Hendricks,Pedro Strop,
70,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Tommy La Stella,Chris Coghlan,Mike Baxter,Austin Jackson,Jon Lester,Justin Grimm,
71,Miguel Montero,Anthony Rizzo,Tommy La Stella,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Travis Wood,Jason Motte,
72,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Edwin Jackson,Justin Grimm,
73,David Ross,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Austin Jackson,Dan Haren,Pedro Strop,
74,David Ross,Mike Baxter,Starlin Castro,Addison Russell,Tommy La Stella,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jake Arrieta,Justin Grimm,
75,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Chris Denorfia,Dexter Fowler,Jason Hammel,Pedro Strop,
76,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Kyle Schwarber,Chris Denorfia,Austin Jackson,Jon Lester,Hector Rondon,
77,Miguel Montero,Welington Castillo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Mike Baxter,Austin Jackson,Kyle Hendricks,Jason Motte,
78,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Chris Coghlan,Jorge Soler,Austin Jackson,Dan Haren,Neil Ramirez,
79,Miguel Montero,Anthony Rizzo,Tommy La Stella,Addison Russell,Kris Bryant,Kyle Schwarber,Jorge Soler,Austin Jackson,Edwin Jackson,Justin Grimm,
80,Miguel Montero,Anthony Rizzo,Addison Russell,Starlin Castro,Kris Bryant,Quintin Berry,Chris Denorfia,Dexter Fowler,Jake Arrieta,Tsuyoshi Wada,
